prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths
2020-08-01,30,"('North America', 'US', 'Nebraska')",13.563,2.99,4235.29,11.0,21827555.871,176.548
2020-08-01,30,"('North America', 'US', 'Nevada')",3.977,2.72,2576.194,31.387,11755850.387,1493.387
2020-08-01,30,"('North America', 'US', 'New Hampshire')",10.19,2.08,714.226,8.806,541228.742,80.355
2020-08-01,30,"('North America', 'US', 'New Jersey')",5.767,1.089,10839.419,173.065,126160681.097,30598.355
2020-08-01,30,"('North America', 'US', 'New Mexico')",0.669,5.111,162.581,36.387,49207.419,1340.774
2020-08-01,30,"('North America', 'US', 'New York')",4.058,0.157,17327.129,51.452,330856732.226,3877.516
2020-08-01,30,"('North America', 'US', 'North Carolina')",9.402,10.707,14327.774,256.548,284208511.323,70933.645
2020-08-01,30,"('North America', 'US', 'North Dakota')",23.274,5.386,2214.935,6.645,6739085.903,55.484
2020-08-01,30,"('North America', 'US', 'Ohio')",4.583,8.431,5136.935,324.0,34048048.806,107593.226
2020-08-01,30,"('North America', 'US', 'Oklahoma')",2.278,21.063,1104.452,141.548,1594722.516,20541.097
2020-08-01,30,"('North America', 'US', 'Oregon')",6.165,3.58,1523.387,14.161,3782793.323,227.968
2020-08-01,30,"('North America', 'US', 'Pennsylvania')",19.977,6.441,25915.581,477.581,708392112.548,235077.194
2020-08-01,30,"('North America', 'US', 'Rhode Island')",13.844,1.667,2866.161,17.0,8920974.613,343.065
2020-08-01,30,"('North America', 'US', 'South Carolina')",10.105,7.124,11138.258,160.226,169861800.129,26150.742
2020-08-01,30,"('North America', 'US', 'South Dakota')",14.951,7.73,1678.226,11.935,4039538.742,156.774
2020-08-01,30,"('North America', 'US', 'Tennessee')",7.191,12.975,10154.387,180.097,153437088.903,33118.871
2020-08-01,30,"('North America', 'US', 'Texas')",10.686,22.122,61723.935,2305.161,5208332606.323,5557723.29
2020-08-01,30,"('North America', 'US', 'Utah')",8.026,7.06,3841.29,26.226,17839210.903,777.71
2020-08-01,30,"('North America', 'US', 'Vermont')",10.131,2.012,155.29,1.161,27470.065,1.484
2020-08-01,30,"('North America', 'US', 'Virginia')",9.34,2.046,10310.903,50.71,138182198.839,4994.258
2020-08-01,30,"('North America', 'US', 'Washington')",2.514,8.497,1773.323,150.806,5657462.226,23192.677
2020-08-01,30,"('North America', 'US', 'West Virginia')",1.898,10.564,162.226,18.71,29426.871,549.806
2020-08-01,30,"('North America', 'US', 'Wisconsin')",8.406,13.95,5709.29,144.484,40540427.419,20950.548
2020-08-01,30,"('North America', 'US', 'Wyoming')",5.956,10.906,203.484,3.258,50248.323,12.935
2020-08-01,30,"('Oceania', 'Australia', 'Australian Capital Territory')",0.885,0.0,1.0,0.0,1.0,0.0
2020-08-01,30,"('Oceania', 'Australia', 'New South Wales')",7.19,4.491,284.419,2.29,86656.677,5.516
2020-08-01,30,"('Oceania', 'Australia', 'Queensland')",2.937,0.0,32.355,0.0,1190.548,0.0
2020-08-01,30,"('Oceania', 'Australia', 'South Australia')",3.767,0.0,17.355,0.0,308.194,0.0
2020-08-01,30,"('Oceania', 'Australia', 'Tasmania')",0.73,0.0,1.677,0.0,3.032,0.0
2020-08-01,30,"('Oceania', 'Australia', 'Victoria')",6.87,47.628,1099.903,175.645,1384931.065,41377.452
2020-08-01,30,"('Oceania', 'Australia', 'Western Australia')",5.677,0.0,37.065,0.0,1446.097,0.0
2020-08-01,30,"('Oceania', 'New Zealand', 'None')",4.961,4.545,83.323,1.0,10748.548,1.0
2020-08-01,30,"('South America', 'Argentina', 'None')",9.159,7.103,31141.387,456.097,1578287064.032,269695.194
2020-08-01,30,"('South America', 'Bolivia', 'None')",0.535,1.28,537.774,50.032,435555.065,3347.903
2020-08-01,30,"('South America', 'Brazil', 'None')",3.214,2.704,114672.161,2806.968,20900036133.065,9834088.71
2020-08-01,30,"('South America', 'Chile', 'None')",2.762,8.315,10957.935,885.032,189658278.71,929233.613
2020-08-01,30,"('South America', 'Colombia', 'None')",5.776,10.558,30904.645,1825.484,2116158937.355,6284805.871
2020-08-01,30,"('South America', 'Ecuador', 'None')",20.046,1.796,20753.548,112.226,497145637.032,20085.0
2020-08-01,30,"('South America', 'Guyana', 'None')",39.22,9.381,346.548,2.774,178804.032,13.935
2020-08-01,30,"('South America', 'Paraguay', 'None')",21.005,44.174,2676.742,83.194,12237352.677,11925.581
2020-08-01,30,"('South America', 'Peru', 'None')",24.744,41.232,136863.0,10353.065,22622381596.355,117302976.419
2020-08-01,30,"('South America', 'Suriname', 'None')",66.151,43.827,2024.355,22.968,4590119.581,742.0
2020-08-01,30,"('South America', 'Trinidad and Tobago', 'None')",63.231,23.976,561.226,3.71,580830.71,31.0
2020-08-01,30,"('South America', 'Uruguay', 'None')",17.825,8.007,260.645,3.258,73736.129,13.387
2020-08-01,30,"('South America', 'Venezuela', 'None')",9.787,1.82,3445.323,4.968,14579841.839,37.29
