key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_002,2020-07-10,4,0,261,13,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-24,3,0,169,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-14,18,1,304,15,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-16,2,0,735,22,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-01,0,0,13,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-04,20,0,591,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-06,8,0,614,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-02,1,0,22,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-27,6,0,185,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-28,1,0,12,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-25,0,0,8,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-20,11,0,361,15,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-18,4,0,144,9,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-14,11,0,724,22,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-28,5,0,190,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-13,26,1,713,22,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-13,1,0,2,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-13,2,0,52,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-04,3,0,97,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-27,0,0,21,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-09,3,0,112,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-02,3,0,89,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-15,0,0,130,8,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-30,16,1,513,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-25,11,0,448,19,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-23,16,1,408,19,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-24,1,0,20,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-31,4,0,84,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-03,5,0,94,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-31,21,0,534,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-07,2,0,105,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-19,3,0,350,15,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-18,2,0,55,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-21,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_006,2020-07-12,8,1,295,11,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-29,4,0,47,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-04,0,0,14,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-11,13,1,968,32,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-08-09,14,0,933,30,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-01,0,1,3,1,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-31,0,0,3,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-23,0,0,1,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-11,0,0,16,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-30,8,0,209,8,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-26,4,1,178,7,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-01,0,1,12,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-16,0,0,0,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-25,1,0,10,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-07,1,0,16,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-29,0,0,3,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-09,4,0,270,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-15,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-28,1,0,3,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-02,6,1,219,9,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-25,18,0,558,21,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-06-28,7,0,190,8,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-16,0,1,5,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-22,17,1,489,19,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-06,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-12,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-05,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-12,1,0,17,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-05-09,0,0,16,4,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-03-18,0,0,0,0,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-24,0,0,9,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-09,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-08,0,0,5,2,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-04-18,0,0,5,3,176076,Argentina,City of Buenos Aires,Caballito,2
AR_C_006,2020-07-30,24,1,675,23,176076,Argentina,City of Buenos Aires,Caballito,2
