Country,Province_State,Date,Cum_Cases,Cum_Deaths, Population
Russia,Belgorod Oblast,2020-05-28,2059,15,1547532
Russia,Belgorod Oblast,2020-05-29,2140,18,1547532
Russia,Belgorod Oblast,2020-05-30,2140,18,1547532
Russia,Belgorod Oblast,2020-05-31,2140,18,1547532
Russia,Belgorod Oblast,2020-06-01,2310,19,1547532
Russia,Briansk Oblast,2020-03-22,0,0,1192570
Russia,Briansk Oblast,2020-03-23,0,0,1192570
Russia,Briansk Oblast,2020-03-24,0,0,1192570
Russia,Briansk Oblast,2020-03-25,2,0,1192570
Russia,Briansk Oblast,2020-03-26,2,0,1192570
Russia,Briansk Oblast,2020-03-27,2,0,1192570
Russia,Briansk Oblast,2020-03-28,3,0,1192570
Russia,Briansk Oblast,2020-03-29,3,0,1192570
Russia,Briansk Oblast,2020-03-30,3,0,1192570
Russia,Briansk Oblast,2020-03-31,3,0,1192570
Russia,Briansk Oblast,2020-04-01,5,0,1192570
Russia,Briansk Oblast,2020-04-02,5,0,1192570
Russia,Briansk Oblast,2020-04-03,7,0,1192570
Russia,Briansk Oblast,2020-04-04,19,0,1192570
Russia,Briansk Oblast,2020-04-05,19,0,1192570
Russia,Briansk Oblast,2020-04-06,24,0,1192570
Russia,Briansk Oblast,2020-04-07,56,0,1192570
Russia,Briansk Oblast,2020-04-08,57,0,1192570
Russia,Briansk Oblast,2020-04-09,97,0,1192570
Russia,Briansk Oblast,2020-04-10,97,0,1192570
Russia,Briansk Oblast,2020-04-11,123,0,1192570
Russia,Briansk Oblast,2020-04-12,141,0,1192570
Russia,Briansk Oblast,2020-04-13,142,0,1192570
Russia,Briansk Oblast,2020-04-14,142,0,1192570
Russia,Briansk Oblast,2020-04-15,164,0,1192570
Russia,Briansk Oblast,2020-04-16,201,0,1192570
Russia,Briansk Oblast,2020-04-17,228,1,1192570
Russia,Briansk Oblast,2020-04-18,256,1,1192570
Russia,Briansk Oblast,2020-04-19,279,1,1192570
Russia,Briansk Oblast,2020-04-20,321,1,1192570
Russia,Briansk Oblast,2020-04-21,350,1,1192570
Russia,Briansk Oblast,2020-04-22,399,1,1192570
Russia,Briansk Oblast,2020-04-23,459,2,1192570
Russia,Briansk Oblast,2020-04-24,494,2,1192570
Russia,Briansk Oblast,2020-04-25,521,2,1192570
Russia,Briansk Oblast,2020-04-26,599,3,1192570
Russia,Briansk Oblast,2020-04-27,642,4,1192570
Russia,Briansk Oblast,2020-04-28,668,4,1192570
Russia,Briansk Oblast,2020-04-29,783,4,1192570
Russia,Briansk Oblast,2020-04-30,901,8,1192570
Russia,Briansk Oblast,2020-05-01,989,9,1192570
Russia,Briansk Oblast,2020-05-02,1062,9,1192570
Russia,Briansk Oblast,2020-05-03,1148,9,1192570
Russia,Briansk Oblast,2020-05-04,1250,12,1192570
Russia,Briansk Oblast,2020-05-05,1287,12,1192570
Russia,Briansk Oblast,2020-05-06,1367,12,1192570
Russia,Briansk Oblast,2020-05-07,1514,17,1192570
Russia,Briansk Oblast,2020-05-08,1514,17,1192570
Russia,Briansk Oblast,2020-05-09,1514,17,1192570
Russia,Briansk Oblast,2020-05-10,1514,17,1192570
Russia,Briansk Oblast,2020-05-11,1678,22,1192570
Russia,Briansk Oblast,2020-05-12,1753,29,1192570
Russia,Briansk Oblast,2020-05-13,1826,30,1192570
Russia,Briansk Oblast,2020-05-14,1908,30,1192570
Russia,Briansk Oblast,2020-05-15,1995,30,1192570
Russia,Briansk Oblast,2020-05-16,1995,30,1192570
Russia,Briansk Oblast,2020-05-17,2178,30,1192570
Russia,Briansk Oblast,2020-05-18,2293,30,1192570
Russia,Briansk Oblast,2020-05-19,2293,30,1192570
Russia,Briansk Oblast,2020-05-20,2405,30,1192570
Russia,Briansk Oblast,2020-05-21,2632,31,1192570
Russia,Briansk Oblast,2020-05-22,2632,31,1192570
Russia,Briansk Oblast,2020-05-23,2840,31,1192570
Russia,Briansk Oblast,2020-05-24,2951,31,1192570
Russia,Briansk Oblast,2020-05-25,3057,31,1192570
Russia,Briansk Oblast,2020-05-26,3156,31,1192570
Russia,Briansk Oblast,2020-05-27,3156,31,1192570
Russia,Briansk Oblast,2020-05-28,3363,31,1192570
Russia,Briansk Oblast,2020-05-29,3473,31,1192570
Russia,Briansk Oblast,2020-05-30,3473,31,1192570
Russia,Briansk Oblast,2020-05-31,3473,31,1192570
Russia,Briansk Oblast,2020-06-01,3685,31,1192570
Russia,Chechen Republic,2020-03-22,0,0,1476752
Russia,Chechen Republic,2020-03-23,0,0,1476752
Russia,Chechen Republic,2020-03-24,0,0,1476752
Russia,Chechen Republic,2020-03-25,1,0,1476752
Russia,Chechen Republic,2020-03-26,1,0,1476752
Russia,Chechen Republic,2020-03-27,3,0,1476752
Russia,Chechen Republic,2020-03-28,5,0,1476752
Russia,Chechen Republic,2020-03-29,9,0,1476752
Russia,Chechen Republic,2020-03-30,9,0,1476752
Russia,Chechen Republic,2020-03-31,9,0,1476752
Russia,Chechen Republic,2020-04-01,10,0,1476752
Russia,Chechen Republic,2020-04-02,10,1,1476752
Russia,Chechen Republic,2020-04-03,12,1,1476752
Russia,Chechen Republic,2020-04-04,15,1,1476752
Russia,Chechen Republic,2020-04-05,15,1,1476752
Russia,Chechen Republic,2020-04-06,16,1,1476752
Russia,Chechen Republic,2020-04-07,17,1,1476752
Russia,Chechen Republic,2020-04-08,22,1,1476752
