continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths
Asia,Kazakhstan,None,2020-03-26 00:00:00,2020-04-24 00:00:00,6.875,24.732,2020-04-25 00:00:00,2020-05-04 00:00:00,4.558,15.816
Asia,Kazakhstan,None,None,None,6.875,24.732,None,None,4.558,15.816
Asia,"Korea, South",None,2020-02-20 00:00:00,2020-04-16 00:00:00,12.98,10.436,2020-04-17 00:00:00,2020-05-04 00:00:00,1.446,3.539
Asia,"Korea, South",None,None,None,12.98,10.436,None,None,1.446,3.539
Asia,Kuwait,None,2020-03-14 00:00:00,2020-04-21 00:00:00,8.877,153.063,2020-04-22 00:00:00,2020-05-04 00:00:00,10.747,20.266
Asia,Kuwait,None,None,None,8.877,153.063,None,None,10.747,20.266
Asia,Lebanon,None,2020-03-15 00:00:00,2020-04-22 00:00:00,3.839,20.253,2020-04-23 00:00:00,2020-05-04 00:00:00,1.837,2.552
Asia,Lebanon,None,None,None,3.839,20.253,None,None,1.837,2.552
Asia,Malaysia,None,2020-03-09 00:00:00,2020-04-20 00:00:00,5.262,47.76,2020-04-21 00:00:00,2020-05-04 00:00:00,1.413,1.959
Asia,Malaysia,None,None,None,5.262,47.76,None,None,1.413,1.959
Asia,Maldives,None,2020-04-23 00:00:00,2020-05-01 00:00:00,9.547,19.364,2020-05-02 00:00:00,2020-05-04 00:00:00,22.583,59.647
Asia,Maldives,None,None,None,9.547,19.364,None,None,22.583,59.647
Asia,None,None,None,None,10.969,31.095,None,None,8.795,19.021
Asia,Oman,None,2020-03-26 00:00:00,2020-04-24 00:00:00,4.59,25.451,2020-04-25 00:00:00,2020-05-04 00:00:00,3.398,21.11
Asia,Oman,None,None,None,4.59,25.451,None,None,3.398,21.11
Asia,Pakistan,None,2020-03-16 00:00:00,2020-04-22 00:00:00,26.506,16.358,2020-04-23 00:00:00,2020-05-04 00:00:00,7.621,3.605
Asia,Pakistan,None,None,None,26.506,16.358,None,None,7.621,3.605
Asia,Philippines,None,2020-03-14 00:00:00,2020-04-21 00:00:00,20.468,10.173,2020-04-22 00:00:00,2020-05-04 00:00:00,2.602,2.337
Asia,Philippines,None,None,None,20.468,10.173,None,None,2.602,2.337
Asia,Qatar,None,2020-03-11 00:00:00,2020-04-21 00:00:00,17.036,58.981,2020-04-22 00:00:00,2020-05-04 00:00:00,47.402,149.307
Asia,Qatar,None,None,None,17.036,58.981,None,None,47.402,149.307
Asia,Russia,None,2020-03-17 00:00:00,2020-04-22 00:00:00,9.331,25.145,2020-04-23 00:00:00,2020-05-04 00:00:00,1.692,4.422
Asia,Russia,None,None,None,9.331,25.145,None,None,1.692,4.422
Asia,Saudi Arabia,None,2020-03-14 00:00:00,2020-04-21 00:00:00,25.237,37.891,2020-04-22 00:00:00,2020-05-04 00:00:00,10.108,8.962
Asia,Saudi Arabia,None,None,None,25.237,37.891,None,None,10.108,8.962
Asia,Singapore,None,2020-02-29 00:00:00,2020-04-18 00:00:00,15.018,22.751,2020-04-19 00:00:00,2020-05-04 00:00:00,60.152,82.096
Asia,Singapore,None,None,None,15.018,22.751,None,None,60.152,82.096
Asia,Sri Lanka,None,2020-03-24 00:00:00,2020-04-24 00:00:00,7.199,41.391,2020-04-25 00:00:00,2020-05-04 00:00:00,23.693,10.474
Asia,Sri Lanka,None,None,None,7.199,41.391,None,None,23.693,10.474
Asia,Thailand,None,2020-03-15 00:00:00,2020-04-22 00:00:00,5.724,58.491,2020-04-23 00:00:00,2020-05-04 00:00:00,0.743,5.589
Asia,Thailand,None,None,None,5.724,58.491,None,None,0.743,5.589
Asia,Turkey,None,2020-03-19 00:00:00,2020-04-23 00:00:00,13.957,7.722,2020-04-24 00:00:00,2020-05-04 00:00:00,3.243,1.747
Asia,Turkey,None,None,None,13.957,7.722,None,None,3.243,1.747
Asia,United Arab Emirates,None,2020-03-18 00:00:00,2020-04-22 00:00:00,17.729,23.219,2020-04-23 00:00:00,2020-05-04 00:00:00,0.925,7.866
Asia,United Arab Emirates,None,None,None,17.729,23.219,None,None,0.925,7.866
Asia,Uzbekistan,None,2020-03-28 00:00:00,2020-04-25 00:00:00,6.915,19.64,2020-04-26 00:00:00,2020-05-04 00:00:00,6.235,35.632
Asia,Uzbekistan,None,None,None,6.915,19.64,None,None,6.235,35.632
Asia,Vietnam,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.805,,2020-04-24 00:00:00,2020-05-04 00:00:00,2.759,
Asia,Vietnam,None,None,None,3.805,,None,None,2.759,
Europe,Albania,None,2020-03-23 00:00:00,2020-04-24 00:00:00,5.693,22.997,2020-04-25 00:00:00,2020-05-04 00:00:00,6.168,15.5
Europe,Albania,None,None,None,5.693,22.997,None,None,6.168,15.5
Europe,Andorra,None,2020-03-22 00:00:00,2020-04-23 00:00:00,1.665,28.739,2020-04-24 00:00:00,2020-05-04 00:00:00,2.174,1.418
Europe,Andorra,None,None,None,1.665,28.739,None,None,2.174,1.418
Europe,Austria,None,2020-03-08 00:00:00,2020-04-20 00:00:00,42.281,164.61,2020-04-21 00:00:00,2020-05-04 00:00:00,5.3,3.162
Europe,Austria,None,None,None,42.281,164.61,None,None,5.3,3.162
Europe,Belarus,None,2020-03-30 00:00:00,2020-04-25 00:00:00,8.27,54.884,2020-04-26 00:00:00,2020-05-04 00:00:00,6.492,17.944
Europe,Belarus,None,None,None,8.27,54.884,None,None,6.492,17.944
Europe,Belgium,None,2020-03-06 00:00:00,2020-04-19 00:00:00,9.215,149.636,2020-04-20 00:00:00,2020-05-04 00:00:00,1.142,7.209
Europe,Belgium,None,None,None,9.215,149.636,None,None,1.142,7.209
Europe,Bosnia and Herzegovina,None,2020-03-22 00:00:00,2020-04-23 00:00:00,3.267,17.693,2020-04-24 00:00:00,2020-05-04 00:00:00,4.44,11.712
Europe,Bosnia and Herzegovina,None,None,None,3.267,17.693,None,None,4.44,11.712
