continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Europe,Cyprus,None,2020-03-23,2020-06-05,3.3,6.385,-1.0,1.0,12.823,0.659,18.843,0.982,2020-06-06,2020-06-20,3.028,6.936,1.0,1.0,29.662,1.27,197.926,3.126,84.998,95.85
Europe,Czechia,None,2020-03-13,2020-06-05,6.668,75.859,-1.0,-1.0,212.912,7.439,250.458,11.12,2020-06-06,2020-06-20,8.89,0.946,1.0,-1.0,893.203,3.116,1820.33,69.935,89.445,139.445
Europe,Denmark,None,2020-03-10,2020-06-05,4.407,102.859,1.0,-1.0,137.142,14.541,178.368,20.691,2020-06-06,2020-06-20,3.041,0.289,1.0,1.0,370.817,1.725,2161.439,121.005,59.633,32.861
Europe,Estonia,None,2020-03-14,2020-06-05,3.801,48.415,1.0,-1.0,27.328,1.828,34.048,2.695,2020-06-06,2020-06-20,6.535,0.966,1.0,-1.0,128.449,0.666,372.81,15.162,95.277,
Europe,Finland,None,2020-03-13,2020-06-05,2.343,81.216,1.0,-1.0,40.759,17.244,53.179,19.263,2020-06-06,2020-06-20,0.541,12.755,1.0,-1.0,38.286,41.46,1298.639,72.01,16.291,465.524
Europe,France,None,2020-02-29,2020-06-05,18.629,128.459,-1.0,-1.0,3071.792,519.575,4218.283,625.368,2020-06-06,2020-06-20,4.086,3.267,1.0,1.0,7728.554,959.334,39241.583,6086.929,95.447,84.204
Europe,Germany,None,2020-03-01,2020-06-05,5.596,66.669,1.0,-1.0,2067.386,184.131,2687.88,234.699,2020-06-06,2020-06-20,4.978,3.229,1.0,-1.0,9352.115,283.785,37565.359,1788.05,91.035,38.031
Europe,Greece,None,2020-03-13,2020-06-05,3.928,8.198,-1.0,-1.0,43.258,2.989,56.268,3.613,2020-06-06,2020-06-20,6.324,4.392,1.0,1.0,199.074,8.122,561.843,34.426,90.826,53.345
Europe,Hungary,None,2020-03-21,2020-06-05,2.288,17.911,-1.0,-1.0,35.153,8.299,46.557,11.165,2020-06-06,2020-06-20,2.378,1.067,1.0,1.0,96.386,5.981,807.539,117.396,39.197,13.785
Europe,Iceland,None,2020-03-12,2020-06-05,4.982,15.343,-1.0,-1.0,38.532,0.522,52.6,0.857,2020-06-06,2020-06-20,0.563,2.558,-1.0,-1.0,10.188,0.256,434.03,2.638,89.299,
Europe,Ireland,None,2020-03-14,2020-06-05,6.489,48.743,1.0,-1.0,229.864,31.778,305.938,42.445,2020-06-06,2020-06-20,1.115,0.956,1.0,1.0,281.999,16.318,5585.765,386.102,38.219,59.433
Europe,Italy,None,2020-02-23,2020-06-05,9.152,31.382,-1.0,-1.0,1818.601,338.044,2402.517,428.17,2020-06-06,2020-06-20,1.477,2.243,1.0,1.0,3497.757,769.236,41803.17,5975.177,56.054,60.634
Europe,Kosovo,None,2020-03-31,2020-06-05,5.792,31.961,-1.0,-1.0,29.075,1.181,36.89,1.464,2020-06-06,2020-06-20,21.285,2.975,1.0,1.0,300.501,0.963,244.057,7.64,96.736,84.829
